row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url
66,The Lincoln Lawyer,Michael Connelly,2005,The Lincoln Lawyer,2011,2010_2014,Thriller_Mystery_Crime,medium,"The Lincoln Lawyer (2005), Michael Connelly",The Lincoln Lawyer (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
67,Blood Work,Michael Connelly,1998,Blood Work,2002,2000_2004,Thriller_Mystery_Crime,medium,"Blood Work (1998), Michael Connelly",Blood Work (2002),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
68,The Crime of Father Amaro,José Maria de Eça de Queiroz,1875,O Crime do Padre Amaro,2005,2005_2009,Thriller_Mystery_Crime,medium,"The Crime of Father Amaro (Portuguese: O Crime do Padre Amaro) (1875), José Maria de Eça de Queiroz",O Crime do Padre Amaro (2005),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
69,"Tinker, Tailor, Soldier, Spy",John le Carré,1974,"Tinker, Tailor, Soldier, Spy",2011,2010_2014,Thriller_Mystery_Crime,medium,"Tinker, Tailor, Soldier, Spy (1974), John le Carré","Tinker, Tailor, Soldier, Spy (2011)",https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
70,Emil and the Detectives,Erich Kästner,1929,Emil and the Detectives,2001,2000_2004,Thriller_Mystery_Crime,medium,"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner",Emil and the Detectives (2001),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
71,Dreamcatcher,Stephen King,2001,Dreamcatcher,2003,2000_2004,Horror,medium,"Dreamcatcher (2001), Stephen King",Dreamcatcher (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
72,Escape to Witch Mountain,Alexander Key,1968,Race to Witch Mountain,2009,2005_2009,Horror,medium,"Escape to Witch Mountain (1968), Alexander Key",Race to Witch Mountain (2009),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
73,Carrie,Stephen King,1974,Carrie,2013,2010_2014,Horror,medium,"Carrie (1974), Stephen King",Carrie (2013),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
74,Cell,Stephen King,2006,Cell,2016,2015_2019,Horror,medium,"Cell (2006), Stephen King",Cell (2016),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
75,Dracula,Bram Stoker,1897,Nosferatu,2024,2020_2024,Horror,medium,"Dracula (1897), Bram Stoker",Nosferatu (2024),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
76,Exit Wounds,John Westermann,1990,Exit Wounds,2001,2000_2004,Horror,medium,"Exit Wounds (1990), John Westermann",Exit Wounds (2001),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
77,The Amityville Horror,Jay Anson,1977,The Amityville Horror,2005,2005_2009,Horror,medium,"The Amityville Horror (1977), Jay Anson",The Amityville Horror (2005),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
78,The Ghost,Robert Harris,2007,The Ghost Writer,2010,2010_2014,Horror,medium,"The Ghost (2007), Robert Harris",The Ghost Writer (2010),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
79,Doctor Sleep,Stephen King,2013,Doctor Sleep,2019,2015_2019,Horror,medium,"Doctor Sleep (2013), Stephen King",Doctor Sleep (2019),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
80,Firestarter,Stephen King,1980,Firestarter,2022,2020_2024,Horror,medium,"Firestarter (1980), Stephen King",Firestarter (2022),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
81,Charlotte Gray,Sebastian Faulks,1999,Charlotte Gray,2001,2000_2004,Historical_Biography,medium,"Charlotte Gray (1999), Sebastian Faulks",Charlotte Gray (2001),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
82,A History of Violence,John Wagner,1997,A History of Violence,2005,2005_2009,Historical_Biography,medium,"A History of Violence (1997), John Wagner",A History of Violence (2005),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
83,War Horse,Michael Morpurgo,1982,War Horse,2011,2010_2014,Historical_Biography,medium,"War Horse (1982), Michael Morpurgo",War Horse (2011),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
84,Father of the Bride,Edward Streeter,1949,Father of the Bride,2022,2020_2024,Historical_Biography,medium,"Father of the Bride (1949), Edward Streeter",Father of the Bride (2022),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
85,Hart's War,John Katzenbach,1999,Hart's War,2002,2000_2004,Historical_Biography,medium,"Hart's War (1999), John Katzenbach",Hart's War (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
86,All the King's Men,Robert Penn Warren,1946,All the King's Men,2006,2005_2009,Historical_Biography,medium,"All the King's Men (1946), Robert Penn Warren",All the King's Men (2006),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
87,The Fake Fusé: Satomi Hakkenden,Kazuki Sakuraba,2010,"Fusé: Memoirs of the Hunter Girl (伏 鉄砲娘の捕物帳, Fusé: Teppō Musume no Torimonochō)",2012,2010_2014,Historical_Biography,medium,"The Fake Fusé: Satomi Hakkenden (伏 贋作・里見八犬伝, Fusé Gansaku: Satomi Hakkenden) (2010), Kazuki Sakuraba","Fusé: Memoirs of the Hunter Girl (伏 鉄砲娘の捕物帳, Fusé: Teppō Musume no Torimonochō) (2012)",https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
88,The War of the Worlds,H. G. Wells,1898,War of the Worlds: The Attack,2023,2020_2024,Historical_Biography,medium,"The War of the Worlds (1898), H. G. Wells",War of the Worlds: The Attack (2023),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
89,Jitter Joint,Howard Swindle,1999,D-Tox,2002,2000_2004,Historical_Biography,medium,"Jitter Joint (1999), Howard Swindle",D-Tox (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
