row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url
188,The Time Traveler's Wife,Audrey Niffenegger,2003,The Time Traveler's Wife,2009,2005_2009,Fantasy_SciFi,medium,"The Time Traveler's Wife (2003), Audrey Niffenegger",The Time Traveler's Wife (2009),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
189,The Da Vinci Code,Dan Brown,2003,The Da Vinci Code,2006,2005_2009,Thriller_Mystery_Crime,medium,"The Da Vinci Code (2003), Dan Brown",The Da Vinci Code (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
190,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,2004,2000_2004,Comedy_Satire,medium,"The Hitchhiker's Guide to the Galaxy (1979), Douglas Adams",The Hitchhiker's Guide to the Galaxy (2004),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
191,She: A History of Adventure,H. Rider Haggard,1886,She,2001,2000_2004,Historical_Biography,medium,"She: A History of Adventure (serialised 1886–87, published as a book, 1887), H. Rider Haggard",She (2001),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
192,The Bridge of San Luis Rey,Thornton Wilder,1927,The Bridge of San Luis Rey,2004,2000_2004,Action_Adventure,medium,"The Bridge of San Luis Rey (1927), Thornton Wilder",The Bridge of San Luis Rey (2004),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)"
193,Hannibal,Thomas Harris,1999,Hannibal,2001,2000_2004,Thriller_Mystery_Crime,medium,"Hannibal (1999), Thomas Harris",Hannibal (2001),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J)
194,Red Dragon,Thomas Harris,1981,Red Dragon,2002,2000_2004,Thriller_Mystery_Crime,medium,"Red Dragon (1981), Thomas Harris",Red Dragon (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
195,Skipping Christmas,John Grisham,2001,Christmas with the Kranks,2004,2000_2004,Thriller_Mystery_Crime,medium,"Skipping Christmas (2001), John Grisham",Christmas with the Kranks (2004),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
196,The Last Ride,Thomas Eidson,1996,The Missing,2003,2000_2004,Thriller_Mystery_Crime,medium,"The Last Ride (1996), Thomas Eidson",The Missing (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
197,The Name of the Game is Kidnapping,Keigo Higashino,2002,G@me,2003,2000_2004,Thriller_Mystery_Crime,medium,"The Name of the Game is Kidnapping (ゲームの名は誘拐, Gēmu no Na wa Yūkai) (2002), Keigo Higashino",G@me (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
198,The Runaway Jury,John Grisham,1996,Runaway Jury,2003,2000_2004,Thriller_Mystery_Crime,medium,"The Runaway Jury (1996), John Grisham",Runaway Jury (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
199,The Sum of All Fears,Tom Clancy,1991,The Sum of All Fears,2002,2000_2004,Thriller_Mystery_Crime,medium,"The Sum of All Fears (1991), Tom Clancy",The Sum of All Fears (2002),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z)
200,The Mirror Crack'd from Side to Side,Agatha Christie,1962,Shubho Mahurat,2003,2000_2004,Thriller_Mystery_Crime,medium,"The Mirror Crack'd from Side to Side (1962), Agatha Christie",Shubho Mahurat (Bengali: শুভ মহরৎ) (2003),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R)
