"primaryTitle","startYear","domestic_gross","averageRating","numVotes","runtimeMinutes","genres","is_book"
"Sherlock Holmes",2009,209028679,7.5,705760,"128","Action,Adventure,Mystery",0
"Dawn of the Planet of the Apes",2014,208545589,7.6,510669,"130","Action,Adventure,Drama",0
"Batman Begins",2005,206852432,8.2,1709218,"140","Action,Crime,Drama",0
"Charlie and the Chocolate Factory",2005,206459076,6.7,570126,"115","Adventure,Comedy,Family",0
"Ratatouille",2007,206445654,8.1,940218,"111","Adventure,Animation,Comedy",0
"Thor: The Dark World",2013,206362140,6.7,775992,"112","Action,Adventure,Fantasy",0
"Austin Powers: The Spy Who Shagged Me",1999,206040086,6.7,262284,"95","Action,Adventure,Comedy",0
"Terminator 2: Judgment Day",1991,205881154,8.6,1281060,"137","Action,Adventure,Sci-Fi",0
"The Amazing Spider-Man 2",2014,202853933,6.6,588617,"142","Action,Adventure,Sci-Fi",0
"World War Z",2013,202359711,7,781179,"116","Action,Adventure,Horror",0
"The Mummy Returns",2001,202019785,6.4,366976,"130","Action,Adventure,Fantasy",0
"Armageddon",1998,201578182,6.7,478550,"151","Action,Adventure,Sci-Fi",0
"Ralph Breaks the Internet",2018,201091711,7,204973,"112","Adventure,Animation,Comedy",0
"Gone with the Wind",1939,200852579,8.2,356040,"238","Drama,Romance,War",0
"Tangled",2010,200821936,7.7,543686,"100","Adventure,Animation,Comedy",0
"Superman Returns",2006,200081192,6.1,302746,"154","Action,Adventure,Sci-Fi",0
"Spectre",2015,200074609,6.8,495459,"148","Action,Adventure,Thriller",0
"Pearl Harbor",2001,198542554,6.3,369062,"183","Action,Drama,Romance",0
"Happy Feet",2006,198000317,6.4,213411,"108","Adventure,Animation,Comedy",0
"Indiana Jones and the Last Crusade",1989,197171806,8.2,862290,"127","Action,Adventure",0
"Ice Age: Dawn of the Dinosaurs",2009,196573705,6.9,285269,"94","Adventure,Animation,Comedy",0
"Ice Age: The Meltdown",2006,195330621,6.8,317571,"91","Adventure,Animation,Comedy",0
"Mission: Impossible - Rogue Nation",2015,195042377,7.4,445245,"131","Action,Adventure,Thriller",0
"Madagascar",2005,193595521,6.9,478758,"86","Adventure,Animation,Comedy",0
"Twilight",2008,192769854,5.4,525487,"122","Drama,Fantasy,Romance",0
"Toy Story",1995,191796233,8.3,1170779,"81","Adventure,Animation,Comedy",0
"22 Jump Street",2014,191719337,7,438768,"112","Action,Comedy,Crime",0
"Cars 2",2011,191452396,6.2,254960,"106","Adventure,Animation,Comedy",0
"Men in Black II",2002,190418803,6.2,430798,"88","Action,Adventure,Comedy",0
"Grease",1978,189969103,7.2,325401,"110","Comedy,Musical,Romance",0
"Dunkirk",2017,189740665,7.8,805267,"106","Action,Drama,History",0
"Wreck-It Ralph",2012,189422889,7.7,497482,"101","Adventure,Animation,Comedy",0
"A Quiet Place",2018,188024361,7.5,656528,"90","Drama,Horror,Sci-Fi",0
"Interstellar",2014,188020017,8.7,2515085,"169","Adventure,Drama,Sci-Fi",0
"Gladiator",2000,187705427,8.5,1843962,"155","Action,Adventure,Drama",0
"The Polar Express",2004,187224490,6.6,270838,"100","Adventure,Animation,Family",0
"The Croods",2013,187168425,7.1,250955,"98","Adventure,Animation,Comedy",0
"Sherlock Holmes: A Game of Shadows",2011,186848418,7.4,501704,"129","Action,Adventure,Mystery",0
"The Day After Tomorrow",2004,186740799,6.5,511004,"124","Action,Adventure,Sci-Fi",0
"Mr. & Mrs. Smith",2005,186336279,6.5,592040,"120","Action,Comedy,Crime",0
"Snow White and the Seven Dwarfs",1937,184925486,7.6,238496,"83","Adventure,Animation,Family",0
"Pitch Perfect 2",2015,184296230,6.4,180110,"115","Comedy,Music",0
"Dances with Wolves",1990,184208848,8,309716,"181","Adventure,Drama,Western",0
"Batman Forever",1995,184069126,5.5,281671,"121","Action,Adventure",0
"The Fugitive",1993,183875760,7.8,345737,"130","Action,Crime,Drama",0
"The Revenant",2015,183637894,8,947557,"156","Action,Drama,Western",0
"Ocean's Eleven",2001,183417150,7.7,672028,"116","Crime,Thriller",0
"The Simpsons Movie",2007,183135014,7.3,363078,"87","Adventure,Animation,Comedy",0
"What Women Want",2000,182811707,6.5,239167,"127","Comedy,Fantasy,Romance",0
"The Perfect Storm",2000,182618434,6.5,188112,"130","Action,Adventure,Drama",0
"Lincoln",2012,182207973,7.3,284369,"150","Biography,Drama,History",0
"Liar Liar",1997,181410615,6.9,362093,"86","Comedy,Fantasy",0
"Jurassic Park III",2001,181171875,6,369753,"92","Action,Adventure,Sci-Fi",0
"Thor",2011,181030624,7,963747,"115","Action,Fantasy",0
"Mission: Impossible",1996,180981856,7.2,516664,"110","Action,Adventure,Thriller",0
"Ant-Man",2015,180202163,7.2,778461,"117","Action,Comedy,Sci-Fi",0
"Madagascar: Escape 2 Africa",2008,180010950,6.7,270249,"89","Adventure,Animation,Comedy",0
"X-Men Origins: Wolverine",2009,179883157,6.5,566950,"107","Action,Sci-Fi",0
"Indiana Jones and the Temple of Doom",1984,179870271,7.5,567014,"118","Action,Adventure",0
"Top Gun",1986,179800601,7,550003,"110","Action,Drama",0
"Hitch",2005,179495555,6.6,348852,"118","Comedy,Romance",0
"Pretty Woman",1990,178406268,7.1,403830,"119","Comedy,Romance",0
"Night at the Museum: Battle of the Smithsonian",2009,177243721,6,228525,"105","Adventure,Comedy,Family",0
"Tootsie",1982,177200000,7.4,121988,"116","Comedy,Drama,Romance",0
"How to Train Your Dragon 2",2014,177002924,7.8,400793,"102","Action,Adventure,Animation",0
"Rise of the Planet of the Apes",2011,176760185,7.6,604729,"105","Action,Drama,Sci-Fi",0
"Captain America: The First Avenger",2011,176654505,6.9,965087,"124","Action,Adventure,Sci-Fi",0
"The Karate Kid",2010,176591618,6.3,226473,"140","Action,Drama,Family",0
"There's Something About Mary",1998,176484651,7.1,348012,"119","Comedy,Romance",0
"Ice Age",2002,176387405,7.5,563375,"81","Adventure,Animation,Comedy",0
"The Bourne Supremacy",2004,176241941,7.7,512208,"108","Action,Mystery,Thriller",0
"Get Out",2017,176040665,7.8,814088,"104","Horror,Mystery,Thriller",0
"Us",2019,175005930,6.8,390673,"116","Horror,Mystery,Thriller",0
"The Boss Baby",2017,175003033,6.3,157613,"97","Adventure,Animation,Comedy",0
"Crocodile Dundee",1986,174803506,6.7,124058,"97","Adventure,Comedy",0
"Crazy Rich Asians",2018,174532921,6.9,208367,"120","Comedy,Drama,Romance",0
"The Greatest Showman",2017,174340174,7.5,346203,"105","Biography,Drama,Musical",0
"Elf",2003,173840591,7.1,346332,"97","Adventure,Comedy,Family",0
"Apollo 13",1995,173837933,7.7,336586,"140","Adventure,Drama,History",0
"Apollo 13",1995,173837933,7.9,76,"49","Documentary",0
"Home Alone 2: Lost in New York",1992,173585516,6.9,454935,"120","Adventure,Comedy,Crime",0
"National Treasure",2004,173008894,6.9,376311,"131","Action,Adventure,Mystery",0
"Air Force One",1997,172956409,6.5,223497,"124","Action,Crime,Drama",0
"Rain Man",1988,172825435,8,584472,"133","Drama",0
"Pirates of the Caribbean: Dead Men Tell No Tales",2017,172558876,6.5,384009,"129","Action,Adventure,Fantasy",0
"Mary Poppins Returns",2018,171958438,6.6,100743,"130","Adventure,Comedy,Family",0
"The Matrix",1999,171479930,8.7,2241038,"136","Action,Sci-Fi",0
"True Grit",2010,171243005,7.6,375857,"110","Drama,Western",0
"Tarzan",1999,171091819,7.3,268261,"88","Adventure,Animation,Comedy",0
"A Beautiful Mind",2001,170742341,8.2,1051652,"135","Biography,Drama,Mystery",0
"Chicago",2002,170687518,7.2,256177,"113","Comedy,Crime,Musical",0
"John Wick: Chapter 3 - Parabellum",2019,169935857,7.4,479084,"130","Action,Crime,Drama",0
"The Help",2011,169708112,8.1,527544,"146","Drama",0
"Hotel Transylvania 2",2015,169700110,6.6,161664,"89","Adventure,Animation,Comedy",0
"Hidden Figures",2016,169607287,7.8,288127,"127","Biography,Drama,History",0
"Bridesmaids",2011,169106725,6.8,324902,"125","Comedy",0
"Quantum of Solace",2008,168368427,6.5,496658,"106","Action,Adventure,Mystery",0
"Wild Hogs",2007,168273550,5.9,127705,"100","Action,Adventure,Comedy",0
"Kong: Skull Island",2017,168052812,6.7,373872,"118","Action,Adventure,Fantasy",0
"Three Men and a Baby",1987,167780960,6.1,61492,"102","Comedy,Drama,Family",0
"Gone Girl",2014,167767189,8.1,1165662,"149","Drama,Mystery,Thriller",0
"Hotel Transylvania 3: Summer Vacation",2018,167510016,6.3,99241,"97","Adventure,Animation,Comedy",0
"Casino Royale",2006,167445960,8,742984,"144","Action,Adventure,Thriller",0
"Meet the Parents",2000,166244045,7,377562,"108","Comedy,Romance",0
"Fifty Shades of Grey",2015,166167230,4.2,355721,"125","Drama,Romance,Thriller",0
"2012",2009,166112167,5.9,421257,"158","Action,Adventure,Sci-Fi",0
"Robin Hood: Prince of Thieves",1991,165493908,6.9,221673,"143","Action,Adventure,Drama",0
"Kung Fu Panda 2",2011,165249063,7.3,355972,"90","Action,Adventure,Animation",0
"Hannibal",2001,165092268,6.8,313255,"131","Crime,Drama,Thriller",0
"Catch Me If You Can",2002,164615351,8.1,1232882,"141","Biography,Crime,Drama",0
"The Proposal",2009,163958031,6.8,395792,"108","Comedy,Drama,Romance",0
"The Pursuit of Happyness",2006,163566459,8,619312,"117","Biography,Drama",0
"Big Daddy",1999,163479795,6.5,251338,"93","Comedy,Drama",0
"The SpongeBob Movie: Sponge Out of Water",2015,162994032,6,67519,"92","Adventure,Animation,Comedy",0
"Batman Returns",1992,162902340,7.1,349785,"126","Action,Crime,Fantasy",0
"Django Unchained",2012,162805434,8.5,1877541,"165","Drama,Western",0
"A Bug's Life",1998,162798565,7.2,337381,"95","Adventure,Animation,Comedy",0
"Jason Bourne",2016,162434410,6.6,256982,"123","Action,Thriller",0
"Grown Ups",2010,162001186,6,311869,"102","Comedy",0
"The Waterboy",1998,161491646,6.2,191726,"90","Comedy,Sport",0
"Ice Age: Continental Drift",2012,161321843,6.5,242948,"88","Adventure,Animation,Comedy",0
"Straight Outta Compton",2015,161197785,7.8,233385,"147","Biography,Drama,History",0
"Die Another Day",2002,160942139,6.1,240336,"133","Action,Adventure,Thriller",0
"Shark Tale",2004,160861908,6,212733,"90","Adventure,Animation,Comedy",0
"How to Train Your Dragon: The Hidden World",2019,160799505,7.4,178426,"104","Action,Adventure,Animation",0
"The Heat",2013,159582188,6.6,188307,"117","Action,Comedy,Crime",0
"Fantastic Beasts: The Crimes of Grindelwald",2018,159555901,6.5,331054,"134","Adventure,Family,Fantasy",0
"The Sound of Music",1965,159287539,8.1,290985,"174","Biography,Drama,Family",0
"Star Trek Beyond",2016,158848340,7,269725,"122","Action,Adventure,Sci-Fi",0
"The Firm",1993,158348367,6.9,161029,"154","Drama,Mystery,Thriller",0
"The Longest Yard",2005,158119460,6.4,210852,"113","Comedy,Crime,Sport",0
"X-Men",2000,157299717,7.3,690562,"104","Action,Adventure,Sci-Fi",0
"Scary Movie",2000,157019771,6.3,324804,"88","Comedy",0
"Fatal Attraction",1987,156645693,6.9,111085,"119","Drama,Thriller",0
"Who Framed Roger Rabbit",1988,156452370,7.7,233120,"104","Adventure,Animation,Comedy",0
"The Sting",1973,1.56e+08,8.2,299934,"129","Comedy,Crime,Drama",0
"What Lies Beneath",2000,155464351,6.6,145331,"130","Drama,Horror,Mystery",0
"X-Men: Apocalypse",2016,155442489,6.8,491420,"144","Action,Adventure,Sci-Fi",0
"The Mummy",1999,155385488,7.1,500174,"124","Action,Adventure,Fantasy",0
"Snow White and the Huntsman",2012,155332381,6.1,314633,"127","Action,Adventure,Drama",0
"San Andreas",2015,155190832,6.1,275207,"114","Action,Adventure,Thriller",0
"Over the Hedge",2006,155019340,6.7,202789,"83","Adventure,Animation,Comedy",0
"The Secret Life of Pets 2",2019,154899025,6.4,78177,"86","Adventure,Animation,Comedy",0
"Mad Max: Fury Road",2015,154058340,8.1,1203760,"120","Action,Adventure,Sci-Fi",0
"Jerry Maguire",1996,153952592,7.3,310618,"139","Comedy,Drama,Romance",0
"Trolls",2016,153707064,6.4,100390,"92","Adventure,Animation,Comedy",0
"Beverly Hills Cop II",1987,153665036,6.6,148067,"103","Action,Comedy,Crime",0
"Scooby-Doo",2002,153294164,5.4,140425,"86","Adventure,Comedy,Family",0
"Gremlins",1984,153083102,7.3,273868,"106","Comedy,Fantasy,Horror",0
"Cars 3",2017,152901115,6.7,150330,"102","Adventure,Animation,Comedy",0
"Sex and the City",2008,152647258,5.7,133168,"145","Comedy,Drama,Romance",0
"Runaway Bride",1999,152257509,5.6,110411,"116","Comedy,Romance",0
"La La Land",2016,151101803,8,759653,"128","Comedy,Drama,Music",0
"Divergent",2014,150947895,6.6,517551,"139","Action,Adventure,Drama",0
"Rambo: First Blood Part II",1985,150415432,6.5,195580,"96","Action,Adventure,Thriller",0
"We're the Millers",2013,150394119,7,523378,"110","Comedy,Crime",0
"Terminator 3: Rise of the Machines",2003,150371112,6.3,436575,"109","Action,Sci-Fi",0
"Daddy's Home",2015,150357137,6.2,139028,"96","Comedy,Family",0
